supplier_id,name,country,city,contact_name,email,payment_terms,reliability_score,avg_lead_time_days,category
113,Supplier112,UK,London,Ali,supp112@mail.com,Net30,0.85,12,Finished
114,Supplier113,Germany,Berlin,Ali,supp113@mail.com,Net60,0.95,18,Finished
115,Supplier114,Pakistan,Lahore,Ahmed,supp114@mail.com,Net30,0.94,19,Raw
116,Supplier115,Germany,Berlin,John,supp115@mail.com,Net60,0.79,17,Finished
117,Supplier116,Germany,Berlin,Ahmed,supp116@mail.com,Net30,0.9,18,Raw
118,Supplier117,UK,London,David,supp117@mail.com,Net30,0.77,7,Raw
119,Supplier118,Germany,Berlin,John,supp118@mail.com,Net60,0.94,19,Raw
120,Supplier119,UAE,Dubai,Ali,supp119@mail.com,Net30,0.72,14,Finished
121,Supplier120,UK,London,Emma,supp120@mail.com,Net30,0.88,17,Finished
122,Supplier121,UAE,Dubai,Sara,supp121@mail.com,Net60,0.7,13,Finished
123,Supplier122,UAE,Dubai,Ali,supp122@mail.com,Net30,0.76,19,Finished
124,Supplier123,UK,London,Ali,supp123@mail.com,Net30,0.97,17,Finished
125,Supplier124,Germany,Berlin,Ali,supp124@mail.com,Net30,0.71,11,Finished
126,Supplier125,Germany,Berlin,Emma,supp125@mail.com,Net30,0.71,19,Finished
127,Supplier126,Pakistan,Lahore,Emma,supp126@mail.com,Net60,0.94,13,Raw
128,Supplier127,UAE,Dubai,John,supp127@mail.com,Net60,0.78,19,Raw
129,Supplier128,USA,New York,Emma,supp128@mail.com,Net60,0.85,12,Finished
130,Supplier129,UK,London,Sara,supp129@mail.com,Net60,0.9,12,Finished
131,Supplier130,USA,New York,Emma,supp130@mail.com,Net30,0.74,7,Raw
132,Supplier131,UAE,Dubai,Sara,supp131@mail.com,Net60,0.87,13,Raw
133,Supplier132,Germany,Berlin,Ali,supp132@mail.com,Net60,0.78,14,Finished
134,Supplier133,Pakistan,Lahore,David,supp133@mail.com,Net30,0.73,10,Finished
135,Supplier134,UAE,Dubai,Ali,supp134@mail.com,Net60,0.88,14,Raw
136,Supplier135,Germany,Berlin,Ali,supp135@mail.com,Net60,0.78,25,Raw
137,Supplier136,Germany,Berlin,Sara,supp136@mail.com,Net60,0.98,15,Raw
138,Supplier137,USA,New York,Sara,supp137@mail.com,Net60,0.79,20,Raw
139,Supplier138,Germany,Berlin,John,supp138@mail.com,Net30,0.85,24,Raw
140,Supplier139,UAE,Dubai,Ali,supp139@mail.com,Net60,0.73,23,Raw
141,Supplier140,UAE,Dubai,Emma,supp140@mail.com,Net30,0.8,6,Finished
142,Supplier141,UAE,Dubai,Sara,supp141@mail.com,Net30,0.74,20,Finished
143,Supplier142,UAE,Dubai,Emma,supp142@mail.com,Net60,0.85,14,Raw
144,Supplier143,USA,New York,Sara,supp143@mail.com,Net60,0.93,11,Raw
145,Supplier144,UAE,Dubai,Ali,supp144@mail.com,Net60,0.92,8,Raw
146,Supplier145,Pakistan,Lahore,Sara,supp145@mail.com,Net30,0.79,7,Raw
147,Supplier146,Germany,Berlin,Emma,supp146@mail.com,Net60,0.93,19,Finished
148,Supplier147,Germany,Berlin,Sara,supp147@mail.com,Net30,0.7,14,Raw
149,Supplier148,UK,London,Sara,supp148@mail.com,Net30,0.96,9,Raw
150,Supplier149,UAE,Dubai,Emma,supp149@mail.com,Net60,0.85,25,Finished
